"model","profile","b_pre_mean","b_pre_lo50","b_pre_hi50","b_pre_lo90","b_pre_hi90","b_pre_ppos","b_gamma_mean","b_gamma_lo50","b_gamma_hi50","b_gamma_lo90","b_gamma_hi90","b_gamma_ppos","rhat_max","neff_min"
"Qwen3","overall",0.657,0.596,0.718,0.509,0.806,1,0.115,-0.523,0.742,-1.391,1.701,0.539,1.0033,1329
"Qwen3","novice",1.039,0.945,1.128,0.81,1.275,1,0.089,-0.56,0.742,-1.528,1.656,0.528,1.0008,1821
"Qwen3","intermediate",0.675,0.595,0.752,0.484,0.87,1,0.07,-0.579,0.727,-1.543,1.657,0.523,1.0024,1652
"Qwen3","expert",0.419,0.354,0.484,0.256,0.578,1,0.212,-0.428,0.853,-1.324,1.743,0.595,1.0027,1703
"Gemma","overall",0.576,0.503,0.646,0.4,0.751,1,0.191,-0.454,0.851,-1.354,1.759,0.574,1.0015,1809
"Gemma","novice",0.675,0.551,0.799,0.378,0.984,1,0.131,-0.526,0.819,-1.519,1.738,0.556,1.0048,1621
"Gemma","intermediate",0.543,0.456,0.63,0.332,0.758,1,0.098,-0.554,0.769,-1.504,1.641,0.537,1.0019,1840
"Gemma","expert",0.511,0.441,0.583,0.338,0.685,1,0.235,-0.443,0.89,-1.376,1.849,0.59,1.0026,1427
