"l2","year","median","lo90","hi90","lo50","hi50"
"L2-16: Deep Learning & Neural Networks",2012,3.87211975,2.653155115,5.510792975,3.3114549,4.4867246
"L2-16: Deep Learning & Neural Networks",2013,4.25073305,2.9860683,5.933896695,3.687332875,4.882486375
"L2-16: Deep Learning & Neural Networks",2014,4.72559795,3.43740215,6.356276115,4.154643625,5.34804085
"L2-16: Deep Learning & Neural Networks",2015,5.21037975,3.938509255,6.79309801,4.645356025,5.80349625
"L2-16: Deep Learning & Neural Networks",2016,5.72113435,4.465726385,7.217933275,5.18373405,6.285647975
"L2-16: Deep Learning & Neural Networks",2017,6.3056295,5.10135893,7.755862065,5.78451555,6.863790525
"L2-16: Deep Learning & Neural Networks",2018,6.8904692,5.71849659,8.262177495,6.3833683,7.422908775
"L2-16: Deep Learning & Neural Networks",2019,7.58048945,6.45043718,8.87790092,7.084388775,8.098958775
"L2-16: Deep Learning & Neural Networks",2020,8.1115396,6.993561635,9.30426116,7.6371352,8.580421325
"L2-16: Deep Learning & Neural Networks",2021,8.62774475,7.5388006,9.79467968,8.1711619,9.080949375
"L2-16: Deep Learning & Neural Networks",2022,9.2412355,8.04198948,10.39208175,8.76653335,9.71080125
"L2-16: Deep Learning & Neural Networks",2023,10.0478735,8.93339388,11.16644215,9.6017887,10.4995665
"L2-16: Deep Learning & Neural Networks",2024,10.5758665,9.520603685,11.6111253,10.155348,11.01158375
"L2-16: Deep Learning & Neural Networks",2025,11.3124045,10.29844925,12.28753885,10.90102675,11.706603
"L2-17: NLP & Text Mining",2010,1.3421231,1.104848,1.95835981,1.212152325,1.53567945
"L2-17: NLP & Text Mining",2011,1.36199775,1.11724946,1.946450935,1.232674825,1.55150895
"L2-17: NLP & Text Mining",2012,1.3852888,1.140263905,1.927679195,1.255714375,1.5651312
"L2-17: NLP & Text Mining",2013,1.4112009,1.162282845,1.91835164,1.281589575,1.584600275
"L2-17: NLP & Text Mining",2014,1.43849435,1.1821897,1.92834399,1.3094343,1.60432045
"L2-17: NLP & Text Mining",2015,1.4655679,1.21103641,1.92060493,1.3401792,1.6276714
"L2-17: NLP & Text Mining",2016,1.5045526,1.245143635,1.922023505,1.37716215,1.653925925
"L2-17: NLP & Text Mining",2017,1.54565325,1.28840607,1.9312115,1.422046775,1.688664375
"L2-17: NLP & Text Mining",2018,1.58678855,1.32854401,1.955204885,1.463893,1.720822975
"L2-17: NLP & Text Mining",2019,1.6272825,1.37603086,1.96487487,1.5146371,1.756481525
"L2-17: NLP & Text Mining",2020,1.6846868,1.43998808,1.98982229,1.576269875,1.805092775
"L2-17: NLP & Text Mining",2021,1.72943775,1.49106998,2.01489879,1.626084825,1.839610925
"L2-17: NLP & Text Mining",2022,1.78589515,1.549631195,2.057958235,1.68400205,1.893821075
"L2-17: NLP & Text Mining",2023,1.88628905,1.6632755,2.12632854,1.791216175,1.983203125
"L2-17: NLP & Text Mining",2024,1.94398375,1.720288335,2.173537205,1.852039525,2.037065475
"L2-17: NLP & Text Mining",2025,2.02471585,1.799504705,2.24668683,1.9344978,2.116268425
"L2-18: Archaeometry & Compositional Analysis",2010,11.0512255,9.78997149,12.26568695,10.5406145,11.56819525
"L2-18: Archaeometry & Compositional Analysis",2011,11.2705945,10.12088385,12.40320105,10.81960725,11.744401
"L2-18: Archaeometry & Compositional Analysis",2012,11.2322745,10.1913789,12.25515905,10.81526225,11.660865
"L2-18: Archaeometry & Compositional Analysis",2013,11.334473,10.3720812,12.2739433,10.94297375,11.72321425
"L2-18: Archaeometry & Compositional Analysis",2014,11.374614,10.5058408,12.23109525,11.02512475,11.72897425
"L2-18: Archaeometry & Compositional Analysis",2015,11.3200545,10.52910225,12.12471235,10.9974645,11.650573
"L2-18: Archaeometry & Compositional Analysis",2016,11.341326,10.60349455,12.07839035,11.0440215,11.646439
"L2-18: Archaeometry & Compositional Analysis",2017,11.3260225,10.6718144,12.009437,11.060112,11.60551225
"L2-18: Archaeometry & Compositional Analysis",2018,11.3102245,10.6496104,11.9922187,11.036886,11.58407925
"L2-18: Archaeometry & Compositional Analysis",2019,11.1518875,10.50977615,11.77297205,10.8849215,11.40310025
"L2-18: Archaeometry & Compositional Analysis",2020,11.19571,10.5923605,11.7923175,10.94012125,11.439567
"L2-18: Archaeometry & Compositional Analysis",2021,11.0772105,10.4669513,11.69299855,10.8372055,11.336394
"L2-18: Archaeometry & Compositional Analysis",2022,10.9893255,10.36221515,11.6232319,10.73114,11.249771
"L2-18: Archaeometry & Compositional Analysis",2023,10.741472,10.06900155,11.4046164,10.47071,11.00392325
"L2-18: Archaeometry & Compositional Analysis",2024,10.7367235,10.06878935,11.41387705,10.47213475,11.01708825
"L2-18: Archaeometry & Compositional Analysis",2025,10.7223395,10.03233355,11.41792465,10.43160675,11.00565725
"L2-19: Isotope & Bioarchaeological Analysis",2010,5.21659125,4.3253141,5.98432039,4.8639202,5.541237325
"L2-19: Isotope & Bioarchaeological Analysis",2011,5.29291835,4.45875274,6.024063535,4.969031175,5.600048475
"L2-19: Isotope & Bioarchaeological Analysis",2012,5.34293585,4.565949405,6.013399895,5.040154725,5.63008165
"L2-19: Isotope & Bioarchaeological Analysis",2013,5.4529538,4.755401565,6.071557895,5.180550625,5.71419225
"L2-19: Isotope & Bioarchaeological Analysis",2014,5.4834342,4.82755129,6.06887587,5.22647355,5.729975475
"L2-19: Isotope & Bioarchaeological Analysis",2015,5.5877351,5.00483163,6.11172469,5.3479611,5.81196875
"L2-19: Isotope & Bioarchaeological Analysis",2016,5.64434765,5.11640586,6.12846791,5.428051075,5.8488308
"L2-19: Isotope & Bioarchaeological Analysis",2017,5.6621381,5.151454815,6.110274575,5.456979925,5.852614225
"L2-19: Isotope & Bioarchaeological Analysis",2018,5.73563865,5.27329283,6.16056976,5.55253795,5.915271325
"L2-19: Isotope & Bioarchaeological Analysis",2019,5.8317011,5.388203975,6.230597165,5.6520884,5.9942869
"L2-19: Isotope & Bioarchaeological Analysis",2020,5.88835865,5.44992949,6.273266415,5.72005645,6.0531123
"L2-19: Isotope & Bioarchaeological Analysis",2021,5.9080891,5.464838625,6.29016289,5.735524425,6.07156055
"L2-19: Isotope & Bioarchaeological Analysis",2022,5.99677055,5.539789525,6.395766705,5.820206875,6.169185175
"L2-19: Isotope & Bioarchaeological Analysis",2023,5.87254895,5.35645221,6.304154915,5.6683361,6.062921375
"L2-19: Isotope & Bioarchaeological Analysis",2024,5.9048538,5.37121494,6.356722105,5.69547295,6.090328725
"L2-19: Isotope & Bioarchaeological Analysis",2025,5.94761805,5.397471125,6.42832124,5.7282201,6.154007825
"L2-20: Geoarchaeology & Sediment Analysis",2010,1.7569234,1.289507675,1.99682278,1.535508825,1.9270892
"L2-20: Geoarchaeology & Sediment Analysis",2011,1.7626202,1.318673815,1.99647296,1.5567763,1.925610675
"L2-20: Geoarchaeology & Sediment Analysis",2012,1.76584905,1.341663405,1.995741015,1.574810775,1.924583625
"L2-20: Geoarchaeology & Sediment Analysis",2013,1.76563015,1.363795205,1.995072705,1.587189825,1.918036825
"L2-20: Geoarchaeology & Sediment Analysis",2014,1.7776707,1.39153116,1.99587282,1.612789125,1.916678125
"L2-20: Geoarchaeology & Sediment Analysis",2015,1.7775199,1.41894116,1.99405619,1.624148425,1.91005865
"L2-20: Geoarchaeology & Sediment Analysis",2016,1.7771804,1.43038042,1.99338498,1.632279375,1.904401125
"L2-20: Geoarchaeology & Sediment Analysis",2017,1.7775897,1.44897922,1.99182992,1.6390936,1.901521525
"L2-20: Geoarchaeology & Sediment Analysis",2018,1.78778595,1.469421425,1.991396735,1.65154115,1.90073555
"L2-20: Geoarchaeology & Sediment Analysis",2019,1.7873365,1.47580329,1.99102206,1.656054525,1.900199975
"L2-20: Geoarchaeology & Sediment Analysis",2020,1.7846931,1.467593995,1.990979675,1.654504025,1.903261325
"L2-20: Geoarchaeology & Sediment Analysis",2021,1.7933124,1.46760866,1.992283395,1.657337875,1.907493275
"L2-20: Geoarchaeology & Sediment Analysis",2022,1.79294145,1.45830198,1.99472127,1.653575725,1.912524625
"L2-20: Geoarchaeology & Sediment Analysis",2023,1.78707085,1.42132626,1.994678545,1.6315407,1.915657675
"L2-20: Geoarchaeology & Sediment Analysis",2024,1.78850365,1.40075108,1.99603379,1.6227077,1.922524925
"L2-20: Geoarchaeology & Sediment Analysis",2025,1.79274835,1.387674805,1.996457935,1.617714275,1.9284048
"L2-21: Agent-Based Modelling & Simulation",2010,3.825215,3.23191013,4.40827748,3.59185435,4.05635425
"L2-21: Agent-Based Modelling & Simulation",2011,3.9120615,3.385824815,4.460598785,3.70336165,4.1293869
"L2-21: Agent-Based Modelling & Simulation",2012,4.0060739,3.53187603,4.511389365,3.804542625,4.2073262
"L2-21: Agent-Based Modelling & Simulation",2013,4.0911882,3.648565585,4.57087661,3.9057119,4.28166155
"L2-21: Agent-Based Modelling & Simulation",2014,4.12381675,3.711480865,4.577276125,3.948501725,4.30820415
"L2-21: Agent-Based Modelling & Simulation",2015,4.2085352,3.811513735,4.64590269,4.0419558,4.380548725
"L2-21: Agent-Based Modelling & Simulation",2016,4.27891655,3.8911748,4.679173445,4.1163808,4.44124125
"L2-21: Agent-Based Modelling & Simulation",2017,4.30768295,3.930931225,4.69758543,4.15350495,4.468572025
"L2-21: Agent-Based Modelling & Simulation",2018,4.3318767,3.95886522,4.701551205,4.18381875,4.48634755
"L2-21: Agent-Based Modelling & Simulation",2019,4.36677595,3.99642467,4.7226816,4.212812275,4.513206875
"L2-21: Agent-Based Modelling & Simulation",2020,4.4159307,4.047114425,4.76593242,4.2659147,4.557137375
"L2-21: Agent-Based Modelling & Simulation",2021,4.45700205,4.071699845,4.81384663,4.3045584,4.604249525
"L2-21: Agent-Based Modelling & Simulation",2022,4.4460395,4.041512825,4.808574235,4.28677425,4.59775995
"L2-21: Agent-Based Modelling & Simulation",2023,4.4762438,4.09070639,4.852288115,4.317531275,4.63298665
"L2-21: Agent-Based Modelling & Simulation",2024,4.3678601,3.976573335,4.74496665,4.207465675,4.5235349
"L2-21: Agent-Based Modelling & Simulation",2025,4.42810155,4.042931255,4.805330725,4.272558275,4.5886097
"L2-22: Network Analysis & Graph Theory",2010,2.30482205,1.718714145,3.190310185,2.02548365,2.635392525
"L2-22: Network Analysis & Graph Theory",2011,2.32533015,1.763589465,3.15421506,2.0629656,2.63882995
"L2-22: Network Analysis & Graph Theory",2012,2.35666225,1.81846298,3.120930345,2.1110445,2.651382525
"L2-22: Network Analysis & Graph Theory",2013,2.39356395,1.87497755,3.100337515,2.15178195,2.657522625
"L2-22: Network Analysis & Graph Theory",2014,2.4010167,1.92548036,3.04189211,2.1755742,2.6415802
"L2-22: Network Analysis & Graph Theory",2015,2.42721585,1.98288179,3.00506349,2.228599925,2.65113255
"L2-22: Network Analysis & Graph Theory",2016,2.46439195,2.037093605,3.00068032,2.274009875,2.66612805
"L2-22: Network Analysis & Graph Theory",2017,2.49635725,2.09910074,2.988889835,2.32394125,2.688766625
"L2-22: Network Analysis & Graph Theory",2018,2.55148425,2.17366914,3.00530163,2.387349,2.72410345
"L2-22: Network Analysis & Graph Theory",2019,2.5837476,2.22116328,3.001150855,2.4296629,2.756695725
"L2-22: Network Analysis & Graph Theory",2020,2.62979945,2.26498492,3.032545295,2.46867235,2.793512675
"L2-22: Network Analysis & Graph Theory",2021,2.6846917,2.303467305,3.08113384,2.52496875,2.8449297
"L2-22: Network Analysis & Graph Theory",2022,2.7319158,2.33170861,3.15441811,2.564336575,2.906748525
"L2-22: Network Analysis & Graph Theory",2023,2.95654115,2.581529215,3.379199925,2.80040615,3.1253915
"L2-22: Network Analysis & Graph Theory",2024,2.99175875,2.595729365,3.4042032,2.820373725,3.16256935
"L2-22: Network Analysis & Graph Theory",2025,3.0751991,2.660384015,3.50370483,2.9010423,3.251607375
"L2-23: Ecological & Palaeoenvironmental Modelling",2010,4.76879345,3.93814727,5.403696,4.441581325,5.057634325
"L2-23: Ecological & Palaeoenvironmental Modelling",2011,4.86172515,4.11982057,5.4506609,4.56150585,5.119286675
"L2-23: Ecological & Palaeoenvironmental Modelling",2012,4.9102138,4.242361935,5.46070432,4.638809475,5.1587135
"L2-23: Ecological & Palaeoenvironmental Modelling",2013,4.9893805,4.376782385,5.495576815,4.7512533,5.209791375
"L2-23: Ecological & Palaeoenvironmental Modelling",2014,5.04074905,4.47411279,5.50813847,4.816663325,5.239836775
"L2-23: Ecological & Palaeoenvironmental Modelling",2015,5.0849176,4.57747377,5.520631865,4.885962075,5.2759803
"L2-23: Ecological & Palaeoenvironmental Modelling",2016,5.0932888,4.60852939,5.495837225,4.9025152,5.271516
"L2-23: Ecological & Palaeoenvironmental Modelling",2017,5.12622035,4.69047647,5.50974151,4.948066475,5.29065295
"L2-23: Ecological & Palaeoenvironmental Modelling",2018,5.13066205,4.693225535,5.50158036,4.953866075,5.2919755
"L2-23: Ecological & Palaeoenvironmental Modelling",2019,5.15379775,4.72286165,5.520235915,4.986128275,5.31172155
"L2-23: Ecological & Palaeoenvironmental Modelling",2020,5.15362965,4.719297325,5.51588298,4.977998,5.30968735
"L2-23: Ecological & Palaeoenvironmental Modelling",2021,5.14338695,4.691570565,5.52136972,4.9651972,5.30424885
"L2-23: Ecological & Palaeoenvironmental Modelling",2022,5.1260875,4.642717455,5.523306355,4.932746875,5.296156175
"L2-23: Ecological & Palaeoenvironmental Modelling",2023,5.0750466,4.551922435,5.50688406,4.868957025,5.2607895
"L2-23: Ecological & Palaeoenvironmental Modelling",2024,5.0733014,4.512665975,5.51214906,4.86044445,5.2649558
"L2-23: Ecological & Palaeoenvironmental Modelling",2025,5.0186189,4.42132251,5.491009775,4.791820525,5.237398525
"L2-24: Visualization & Scientific Communication",2010,3.5414939,2.59998354,4.728169325,3.111822775,4.0088388
"L2-24: Visualization & Scientific Communication",2011,3.63920675,2.718505355,4.75408324,3.229144825,4.07445685
"L2-24: Visualization & Scientific Communication",2012,3.70544595,2.848800315,4.739300065,3.324861375,4.112134625
"L2-24: Visualization & Scientific Communication",2013,3.7779628,2.956512665,4.733094845,3.417899525,4.1529536
"L2-24: Visualization & Scientific Communication",2014,3.8468307,3.09302987,4.712696075,3.517022675,4.1866199
"L2-24: Visualization & Scientific Communication",2015,3.91386735,3.220808205,4.70198756,3.6218089,4.233007
"L2-24: Visualization & Scientific Communication",2016,4.0008056,3.34816319,4.731859025,3.71864285,4.292641475
"L2-24: Visualization & Scientific Communication",2017,4.07539925,3.469456805,4.73983391,3.8163954,4.348704725
"L2-24: Visualization & Scientific Communication",2018,4.2183693,3.635755085,4.847456875,3.968024125,4.47400245
"L2-24: Visualization & Scientific Communication",2019,4.26112445,3.709426285,4.859030045,4.030629225,4.5028472
"L2-24: Visualization & Scientific Communication",2020,4.3494962,3.805653915,4.93064382,4.124615925,4.585680675
"L2-24: Visualization & Scientific Communication",2021,4.3551732,3.80071788,4.92591192,4.1313089,4.58733835
"L2-24: Visualization & Scientific Communication",2022,4.4421378,3.88545701,5.028790915,4.218307325,4.6890105
"L2-24: Visualization & Scientific Communication",2023,4.45779335,3.909031575,5.036705675,4.22847005,4.68591305
"L2-24: Visualization & Scientific Communication",2024,4.57907215,4.03333897,5.17770786,4.34201085,4.81968745
"L2-24: Visualization & Scientific Communication",2025,4.57029485,4.022315075,5.19318825,4.334539,4.822040625
